filename;number;isCarved;carvedRatio;carvedDirection
SCBild1220.jpg;1220;0;1;v
SCBild1221.jpg;1221;0;1;v
SCBild1222.jpg;1222;1;0.668896;v
SCBild1223.jpg;1223;1;0.668896;v
SCBild1224.jpg;1224;1;0.75188;v
SCBild1225.jpg;1225;1;0.892857;v
SCBild1226.jpg;1226;1;0.668896;v
SCBild1227.jpg;1227;0;1;v
SCBild1228.jpg;1228;1;0.668896;v
SCBild1229.jpg;1229;1;0.453515;v
SCBild1230.jpg;1230;1;0.666667;v
SCBild1231.jpg;1231;0;1;v
SCBild1232.jpg;1232;0;1;v
SCBild1233.jpg;1233;0;1;v
SCBild1234.jpg;1234;1;0.664452;v
SCBild1235.jpg;1235;1;0.56338;v
SCBild1236.jpg;1236;0;1;v
SCBild1237.jpg;1237;1;0.735294;v
SCBild1238.jpg;1238;1;0.664452;v
SCBild1239.jpg;1239;1;0.668896;v
SCBild1240.jpg;1240;1;0.56338;h
SCBild1241.jpg;1241;0;1;v
SCBild1242.jpg;1242;0;1;h
SCBild1243.jpg;1243;1;0.408163;v
SCBild1244.jpg;1244;0;1;v
SCBild1245.jpg;1245;1;1;h
SCBild1246.jpg;1246;1;0.564972;v
SCBild1247.jpg;1247;1;0.56338;v
SCBild1248.jpg;1248;1;0.668896;v
SCBild1249.jpg;1249;1;0.858369;v
SCBild1250.jpg;1250;1;1;h
SCBild1251.jpg;1251;0;1;v
SCBild1252.jpg;1252;0;1;v
SCBild1253.jpg;1253;1;0.655738;h
SCBild1254.jpg;1254;0;1;v
SCBild1255.jpg;1255;0;1;v
SCBild1256.jpg;1256;1;0.668896;v
SCBild1257.jpg;1257;1;0.655738;h
SCBild1258.jpg;1258;0;1;v
SCBild1259.jpg;1259;1;0.666667;v
SCBild1260.jpg;1260;1;0.664452;h
SCBild1261.jpg;1261;1;0.75188;v
SCBild1262.jpg;1262;0;1;h
SCBild1263.jpg;1263;1;0.666667;v
SCBild1264.jpg;1264;0;1;v
SCBild1265.jpg;1265;1;0.664452;v
SCBild1266.jpg;1266;1;0.666667;v
